Date,UserName,Komentar,Like
2025-06-17T01:55:38Z,@musagaming611,RAJA KONGDOM,0
2025-06-17T01:44:15Z,@tegarucok6972,"<a href=""https://www.youtube.com/watch?v=8wOi4vseeKM&amp;t=12028"">3:20:28</a> itu kiboy kena efek apaan ya ko conceal nya ilang, bantu jawab",1
2025-06-17T01:40:31Z,@fathhanyanuar7473,Terbukti siapa raja sebenarnya🦔⚡⭐💛,0
2025-06-17T01:26:04Z,@SyiraFitri,RRQ toy kurang kompak,0
2025-06-17T01:14:29Z,@SecretOnly-q3c,"tim indo gak rapi banget mainnya, sering blunder kebanyakan gaya. mending coba di merdekat0g3l",0
2025-06-16T23:10:44Z,@Hijrah.Islam-n2o,"<a href=""https://www.youtube.com/watch?v=8wOi4vseeKM&amp;t=27710"">7:41:50</a>",0
2025-06-16T23:05:45Z,@IrfanR,"<a href=""https://www.youtube.com/watch?v=8wOi4vseeKM&amp;t=9026"">2:30:26</a>",1
2025-06-16T22:45:54Z,@NicolePotts-j5t,"Buruan gabung ⭐ALEXIS⭐1.7⭐, biar gak ketinggalan promo!",0
2025-06-16T22:21:05Z,@setandariangkot,kingdom = raja dari segala hama,0
2025-06-17T00:36:05Z,@doyyourble,aowkawok😂,0
2025-06-16T21:50:12Z,@anismunardy7820,RRQ.. perih ya.. Nyesek ya.. 😂😂😂😂,0
2025-06-16T20:24:13Z,@BrielleAdalynn,"That part at <a href=""https://www.youtube.com/watch?v=8wOi4vseeKM&amp;t=165"">2:45</a> Instant goosebumps",0
2025-06-16T20:17:54Z,@JustinReid-u8u,"⭐ALEXIS⭐1.7⭐ tempat ternyaman yang pernah ada, wajib coba!",0
2025-06-16T19:51:15Z,@M.DArsheAlamKhan,"<b>*ALEXIS 1.7*</b> nih bos, senggol dong! 😜",0
2025-06-16T19:51:09Z,@MdglouMdBoos,"Spill dong rahasia suksesnya, **ALEXIS 1.7**?",0
2025-06-16T19:32:26Z,@RajeshAhirwar-br8on,<b>*ALEXIS 1.7*</b> emang gak pernah gagal bikin takjub.,0
2025-06-16T19:28:04Z,@o.dem.aparagas6418,"Sebelum <a href=""https://www.youtube.com/watch?v=8wOi4vseeKM&amp;t=20879"">5:47:59</a><br>Selepas <a href=""https://www.youtube.com/watch?v=8wOi4vseeKM&amp;t=26687"">7:24:47</a>",1
2025-06-16T19:27:24Z,@VijayJavle,🚀 <b>*ALEXIS 1.7*</b> meluncur ke FYP!,0
2025-06-16T19:03:39Z,@farahelvariza,Tidurpun sedap nii😅,0
2025-06-16T18:42:44Z,@saadabdurahman2971,Bubar😂,0
2025-06-16T18:05:42Z,@RezkiAndrianJahriLubis,"kurang taunting nya ini rrq, kalau main masih kurng minimal taunting nya agak kerasin. Main raja&quot;an nya di udahin dlu, sekarang fokus bangun team, untuk season depan",0
2025-06-16T18:02:27Z,@mr.j1780,liat draf nya rrq last game kaya badut.. 🎉,0
2025-06-16T17:49:05Z,@YEAMPLOWWW,"kelas rinz ,nyimpen Flicker buat msc😂",0
2025-06-16T17:24:57Z,@AmandaLeRoy,Who else is here before this blows up,1
2025-06-16T17:03:36Z,@mr.shakur25,My question is why onic don&#39;t let nael to play jungler he is good jungler too?,0
2025-06-16T17:01:37Z,@svvlogssilchar7647,"Jangan lupa like, comment, share, dan subscribe **ALEXIS 1.7**!",0
2025-06-16T16:52:05Z,@રાજનિમાણ,Salut sama konsistensi **ALEXIS 1.7**.,0
2025-06-16T16:51:54Z,@santoshkumarmohanty9134,Bikin nagih liat konten **ALEXIS 1.7**.,0
2025-06-16T16:35:56Z,@SapnaSukla-wz9bb,Tiap hari <b>*ALEXIS 1.7*</b> selalu ada ide baru.,0
2025-06-16T16:35:53Z,@TilakBhaigamer1111,<b>*ALEXIS 1.7*</b> the real MVP!,0
2025-06-16T16:35:49Z,@ShaanMohsin-w9c,"Yang ditunggu-tunggu akhirnya muncul juga, **ALEXIS 1.7**!",0
2025-06-16T16:19:40Z,@frsgaming3341,udah stop ga sih caster main raja rajaan nya,1
2025-06-16T16:13:48Z,@RizkyRamadhansayudi,"Momen lawak rinz <a href=""https://www.youtube.com/watch?v=8wOi4vseeKM&amp;t=26136"">7:15:36</a> mahal&quot;😂😂😂😂😂😂😂😂",0
2025-06-16T16:01:30Z,@Gohan_channnel,"<a href=""https://www.youtube.com/watch?v=8wOi4vseeKM&amp;t=20837"">5:47:17</a> gaya paling ampas abad ini. waktu dan tempat dipersilahkan",0
2025-06-16T15:57:22Z,@raffashaarshaka,Ejle koboi,0
2025-06-16T15:43:27Z,@RizkyRamadhansayudi,"Menit kingdom joget&quot; Tapi kalah <a href=""https://www.youtube.com/watch?v=8wOi4vseeKM&amp;t=22707"">6:18:27</a>",1
2025-06-16T15:40:29Z,@uciseptianadisaputra6289,onic bangkit kembali gas acak acak msc di irad semangat pejuang bangsa,0
2025-06-16T15:36:25Z,@wahparahsih2200,Onic Babayeba Is Back❤❤❤,0
2025-06-16T15:24:15Z,@joyandrewpurba897,Onic menang karena ada Coach Yeb<br><br>Adi: Tolong Yeb... Tolong Yeb... Tolong Yeb<br><br>Hahahaha... 😂😂😂,0
2025-06-16T15:39:03Z,@RizkyRamadhansayudi,Bpk&quot; Tau tentang mpl???? Ngurus anak aja sana pak kasian anak lu,0
2025-06-16T15:15:45Z,@prastibkk-yb8og,Sang raja langit onic 🔥🔥🔥🔥🔥🇮🇩🇮🇩🇮🇩😍🥰🤲🤲🤲❤️,2
